BndEquMlat BndEquTecVal BndMlon BndPolMlat BndPolTecVal date minTecMlat minTecVal mlt adjstMlons
55.0 8.3 4.0 68.0 7.0 "2011-01-26 18:25:00" 63.0 7.2 14.0 4.0
54.0 8.6 8.0 69.0 8.7 "2011-01-26 18:25:00" 62.0 7.2 14.0 8.0
52.0 9.0 12.0 70.0 8.2 "2011-01-26 18:25:00" 61.0 9.9 14.0 12.0
54.0 9.1 18.0 70.0 7.6 "2011-01-26 18:25:00" 64.0 8.2 15.0 18.0
BndEquMlat BndEquTecVal BndMlon BndPolMlat BndPolTecVal date minTecMlat minTecVal mlt adjstMlons
52.0 8.0 304.0 69.0 7.2 "2011-01-26 18:30:00" 63.0 6.8 10.0 -56.0
52.0 8.0 306.0 68.0 7.2 "2011-01-26 18:30:00" 62.0 6.8 10.0 -54.0
51.0 8.1 308.0 62.0 7.6 "2011-01-26 18:30:00" 57.0 7.5 10.0 -52.0
50.0 8.6 310.0 62.0 7.6 "2011-01-26 18:30:00" 57.0 7.4 10.0 -50.0
51.0 8.3 312.0 70.0 7.3 "2011-01-26 18:30:00" 60.0 7.5 10.0 -48.0
51.0 8.7 314.0 70.0 7.5 "2011-01-26 18:30:00" 61.0 7.5 10.0 -46.0
51.0 9.0 316.0 70.0 7.5 "2011-01-26 18:30:00" 61.0 6.4 10.0 -44.0
51.0 9.0 318.0 70.0 7.5 "2011-01-26 18:30:00" 61.0 6.2 11.0 -42.0
52.0 8.7 322.0 66.0 7.6 "2011-01-26 18:30:00" 61.0 7.1 11.0 -38.0
52.0 9.0 324.0 70.0 8.9 "2011-01-26 18:30:00" 61.0 7.0 11.0 -36.0
53.0 8.7 326.0 70.0 8.9 "2011-01-26 18:30:00" 61.0 6.6 11.0 -34.0
52.0 9.6 328.0 70.0 8.9 "2011-01-26 18:30:00" 62.0 7.6 11.0 -32.0
55.0 9.8 330.0 70.0 7.8 "2011-01-26 18:30:00" 62.0 8.9 11.0 -30.0
56.0 9.7 332.0 70.0 7.7 "2011-01-26 18:30:00" 63.0 9.2 12.0 -28.0
54.0 11.2 336.0 70.0 9.6 "2011-01-26 18:30:00" 62.0 9.3 12.0 -24.0
55.0 9.4 352.0 69.0 10.0 "2011-01-26 18:30:00" 61.0 6.6 13.0 -8.0
55.0 9.2 0.0 70.0 7.8 "2011-01-26 18:30:00" 64.0 9.1 13.0 0.0
54.0 9.7 2.0 70.0 7.8 "2011-01-26 18:30:00" 63.0 7.3 14.0 2.0
55.0 8.3 4.0 68.0 7.0 "2011-01-26 18:30:00" 62.0 7.3 14.0 4.0
55.0 8.3 6.0 69.0 7.0 "2011-01-26 18:30:00" 64.0 7.2 14.0 6.0
54.0 8.6 8.0 70.0 8.2 "2011-01-26 18:30:00" 62.0 8.2 14.0 8.0
BndEquMlat BndEquTecVal BndMlon BndPolMlat BndPolTecVal date minTecMlat minTecVal mlt adjstMlons
50.0 8.7 310.0 62.0 7.6 "2011-01-26 18:35:00" 58.0 7.7 10.0 -50.0
50.0 8.9 312.0 70.0 7.5 "2011-01-26 18:35:00" 60.0 7.6 10.0 -48.0
51.0 8.9 314.0 70.0 7.4 "2011-01-26 18:35:00" 61.0 6.9 10.0 -46.0
51.0 9.1 316.0 70.0 7.4 "2011-01-26 18:35:00" 61.0 6.5 11.0 -44.0
52.0 8.2 318.0 66.0 7.8 "2011-01-26 18:35:00" 60.0 5.9 11.0 -42.0
52.0 8.3 320.0 66.0 7.8 "2011-01-26 18:35:00" 60.0 6.5 11.0 -40.0
52.0 8.9 324.0 70.0 9.3 "2011-01-26 18:35:00" 62.0 7.5 11.0 -36.0
52.0 9.4 328.0 70.0 8.9 "2011-01-26 18:35:00" 63.0 8.0 11.0 -32.0
54.0 10.7 330.0 70.0 7.8 "2011-01-26 18:35:00" 62.0 9.0 11.0 -30.0
56.0 9.7 332.0 70.0 7.7 "2011-01-26 18:35:00" 63.0 9.0 12.0 -28.0
54.0 9.2 0.0 70.0 7.8 "2011-01-26 18:35:00" 64.0 8.5 13.0 0.0
54.0 9.3 2.0 70.0 7.8 "2011-01-26 18:35:00" 63.0 7.3 14.0 2.0
54.0 9.7 4.0 69.0 7.0 "2011-01-26 18:35:00" 64.0 7.3 14.0 4.0
53.0 10.2 6.0 69.0 7.0 "2011-01-26 18:35:00" 64.0 7.2 14.0 6.0
52.0 9.8 8.0 70.0 8.2 "2011-01-26 18:35:00" 63.0 7.2 14.0 8.0
51.0 8.7 10.0 70.0 8.2 "2011-01-26 18:35:00" 61.0 9.6 14.0 10.0
51.0 8.4 12.0 70.0 8.2 "2011-01-26 18:35:00" 60.0 10.3 14.0 12.0
BndEquMlat BndEquTecVal BndMlon BndPolMlat BndPolTecVal date minTecMlat minTecVal mlt adjstMlons
46.0 9.7 312.0 64.0 8.5 "2011-01-26 19:30:00" 56.0 8.6 11.0 -48.0
48.0 9.1 314.0 65.0 8.6 "2011-01-26 19:30:00" 57.0 8.1 11.0 -46.0
49.0 9.9 316.0 65.0 8.7 "2011-01-26 19:30:00" 58.0 7.9 11.0 -44.0
50.0 10.0 318.0 68.0 9.1 "2011-01-26 19:30:00" 59.0 8.1 12.0 -42.0
50.0 10.3 320.0 68.0 9.1 "2011-01-26 19:30:00" 59.0 8.1 12.0 -40.0
50.0 10.8 322.0 68.0 9.2 "2011-01-26 19:30:00" 59.0 7.9 12.0 -38.0
50.0 11.2 324.0 70.0 9.6 "2011-01-26 19:30:00" 60.0 7.5 12.0 -36.0
51.0 11.1 326.0 70.0 9.5 "2011-01-26 19:30:00" 60.0 8.2 12.0 -34.0
51.0 10.8 328.0 70.0 9.5 "2011-01-26 19:30:00" 62.0 8.7 12.0 -32.0
51.0 9.9 330.0 69.0 8.2 "2011-01-26 19:30:00" 64.0 8.6 12.0 -30.0
48.0 10.1 338.0 70.0 8.6 "2011-01-26 19:30:00" 64.0 10.4 13.0 -22.0
48.0 9.9 340.0 70.0 8.6 "2011-01-26 19:30:00" 64.0 9.2 13.0 -20.0
48.0 9.5 350.0 69.0 9.3 "2011-01-26 19:30:00" 61.0 9.2 14.0 -10.0
49.0 10.7 358.0 68.0 8.9 "2011-01-26 19:30:00" 61.0 9.1 14.0 -2.0
48.0 9.2 0.0 68.0 8.9 "2011-01-26 19:30:00" 61.0 9.1 14.0 0.0
48.0 8.7 2.0 67.0 8.7 "2011-01-26 19:30:00" 62.0 8.8 15.0 2.0
52.0 9.2 14.0 70.0 7.3 "2011-01-26 19:30:00" 61.0 8.1 15.0 14.0
BndEquMlat BndEquTecVal BndMlon BndPolMlat BndPolTecVal date minTecMlat minTecVal mlt adjstMlons
69.0 6.6 306.0 58.0 6.3 "2011-01-26 23:00:00" 65.0 5.8 14.0 -54.0
49.0 7.6 314.0 69.0 7.1 "2011-01-26 23:00:00" 60.0 5.8 15.0 -46.0
50.0 7.0 316.0 70.0 7.1 "2011-01-26 23:00:00" 60.0 5.5 15.0 -44.0
51.0 6.7 318.0 70.0 7.0 "2011-01-26 23:00:00" 61.0 5.1 15.0 -42.0
53.0 6.6 320.0 69.0 7.0 "2011-01-26 23:00:00" 62.0 5.0 15.0 -40.0
53.0 6.4 322.0 68.0 6.0 "2011-01-26 23:00:00" 62.0 5.1 15.0 -38.0
51.0 6.8 324.0 68.0 6.1 "2011-01-26 23:00:00" 63.0 5.1 15.0 -36.0
51.0 6.1 326.0 69.0 5.2 "2011-01-26 23:00:00" 63.0 5.1 15.0 -34.0
52.0 5.3 328.0 69.0 5.2 "2011-01-26 23:00:00" 64.0 5.0 16.0 -32.0
50.0 6.9 358.0 65.0 6.3 "2011-01-26 23:00:00" 60.0 4.5 18.0 -2.0
52.0 6.5 0.0 67.0 4.5 "2011-01-26 23:00:00" 62.0 3.8 18.0 0.0
53.0 7.3 2.0 70.0 3.7 "2011-01-26 23:00:00" 66.0 4.5 18.0 2.0
54.0 6.1 8.0 70.0 7.3 "2011-01-26 23:00:00" 61.0 4.5 18.0 8.0
53.0 6.5 10.0 64.0 4.5 "2011-01-26 23:00:00" 60.0 4.3 18.0 10.0
53.0 6.1 14.0 70.0 4.0 "2011-01-26 23:00:00" 63.0 4.6 19.0 14.0
52.0 6.2 16.0 70.0 3.9 "2011-01-26 23:00:00" 61.0 3.2 19.0 16.0
